nome da pasta,Mean X
100,54.800638511430925
1000,78.02567831092328
10000,51.04550802631138
20,77.65295904845766
200,75.30355624822054
2000,75.27424303491664
210,89.53039878677512
30,65.60208263237166
300,37.311276590571396
3000,79.96209643816248
40,90.28765807961794
400,28.83411250736593
4000,74.21025335566335
50,
500,83.2272212500032
5000,75.08607683474632
60,83.47838116897566
600,79.8099958233357
6000,76.65509907969226
70,86.98630153046474
700,78.79294019154496
7000,79.16677262504375
80,78.17997225705788
800,78.47539171611835
8000,78.21206805755423
90,85.90160370297033
900,77.17165153192065
9000,77.09894302803696
